Formats:

B    (byte)
BB   (byte, byte)
BBB  (byte, byte, byte)

Codes:

push_temp		BB
store_pop_temp	        BB
push_instvar		BB
store_pop_instvar	BB     
push_literal_const	BB
push_literal_var	BB
store_literal_var	BB
store_temp		BB
store_instvar		BB

push_self		B
push_nil		B
push_true		B
push_false		B
push_integer            BB  

return_stack_top	B

pop_stack_top		B
duplicate_stack_top	B

push_active_context	B

block_copy              BB

jump_true		BBB
jump_false		BBB
jump	        	BBB

send         		BBB
send_super              BBB

send_plus		B
send_minus		B
send_lt			B
send_gt			B
send_le			B
send_ge			B
send_eq			B
send_ne			B
send_mul		B
send_div		B
send_mod		B
send_bitshift		B
send_bitand		B
send_bitor		B
send_bitxor		B
send_at			B
send_at_put		B
send_size		B
send_value		B
send_value_arg		B
send_identity_eq	B
send_class		B
send_hash		B
send_do			B
send_new		B
send_new_arg		B

